EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9455199,74.9329316,18,754464,1.71623E+12,1.71626E+12
EQPT-4,12.9455633,74.9329283,16,754480,1.71623E+12,1.71626E+12
EQPT-4,12.9456083,74.932945,18,754480,1.71623E+12,1.71626E+12
EQPT-4,12.9456566,74.9329666,20,754480,1.71623E+12,1.71626E+12
EQPT-4,12.9457033,74.9329933,19,754486,1.71623E+12,1.71626E+12
EQPT-4,12.9458533,74.933095,22,754506,1.71623E+12,1.71626E+12
EQPT-4,12.9466,74.9336716,23,754610,1.71623E+12,1.71626E+12
EQPT-4,12.9471283,74.9340166,26,754680,1.71623E+12,1.71626E+12
EQPT-4,12.947605,74.9341866,34,754736,1.71623E+12,1.71626E+12
EQPT-4,12.9485366,74.9343133,39,754841,1.71623E+12,1.71626E+12
EQPT-4,12.9494766,74.93431,38,754945,1.71623E+12,1.71626E+12
EQPT-4,12.9504699,74.9342616,41,755056,1.71623E+12,1.71626E+12
EQPT-4,12.9513199,74.9340966,31,755153,1.71623E+12,1.71626E+12
EQPT-4,12.9522666,74.9339883,31,755259,1.71623E+12,1.71626E+12
EQPT-4,12.9524766,74.9339416,27,755283,1.71623E+12,1.71626E+12
EQPT-4,12.9526683,74.9338733,28,755306,1.71623E+12,1.71626E+12
EQPT-4,12.9531083,74.93385,38,755355,1.71623E+12,1.71626E+12
EQPT-4,12.9540933,74.9337433,38,755465,1.71623E+12,1.71626E+12
EQPT-4,12.9550799,74.9336716,38,755575,1.71623E+12,1.71626E+12
EQPT-4,12.9560433,74.9336066,38,755672,1.71623E+12,1.71626E+12
EQPT-4,12.9568749,74.9336299,35,755775,1.71623E+12,1.71626E+12
EQPT-4,12.9577483,74.9337033,27,755873,1.71623E+12,1.71626E+12
EQPT-4,12.9578666,74.9336599,26,755887,1.71623E+12,1.71626E+12
EQPT-4,12.9579783,74.9335833,28,755902,1.71623E+12,1.71626E+12
EQPT-4,12.9581833,74.933475,33,755928,1.71623E+12,1.71626E+12
EQPT-4,12.95909,74.9332633,36,756031,1.71623E+12,1.71626E+12
EQPT-4,12.95955,74.9331783,23,756083,1.71623E+12,1.71626E+12
EQPT-4,12.9599099,74.9331633,13,756123,1.71623E+12,1.71626E+12
EQPT-4,12.9601016,74.9331566,14,756145,1.71623E+12,1.71626E+12
EQPT-4,12.9602883,74.9332016,14,756166,1.71623E+12,1.71626E+12
